fldName,fldInplaceOil,fldInplaceAssLiquid,fldInplaceAssGas,fldInplaceFreeGas,fldDateOffResEstDisplay,fldNpdidField
ATLA,0.0,0.0,0.0,1.88,2019-12-31,21106284.0
FRØY,27.0,0.0,6.0,0.0,2019-12-31,43597.0
GUNGNE,0.0,15.0,0.0,19.62,2019-12-31,43464.0
HEIMDAL,11.0,0.0,0.0,61.4,2019-12-31,43590.0
LILLE-FRIGG,4.0,0.0,7.0,0.0,2019-12-31,43583.0
SKIRNE,5.0,0.0,0.0,14.72,2019-12-31,2138816.0
SLEIPNER VEST,0.0,79.0,0.0,185.11,2019-12-31,43457.0
SLEIPNER ØST,0.0,77.0,0.0,90.7,2019-12-31,43478.0
UTGARD,0.0,6.0,0.0,4.97,2019-12-31,28975098.0
VALE,0.0,10.0,0.0,8.3,2019-12-31,1578893.0
YME,55.0,0.0,3.0,0.0,2019-12-31,43807.0
ØST FRIGG,0.0,0.0,0.0,21.37,2019-12-31,43576.0
,102.0,187.0,16.0,408.07000000000005,,54147643.0
