fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField
ATLA,0.4,1.4,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,2019-12-31,21106284.0
FRØY,5.55,1.61,0.0,0.11,7.27,0.0,0.0,0.0,0.0,0.0,2019-12-31,43597.0
GUNGNE,0.33,15.77,2.19,4.47,24.73,0.1,0.44,0.05,0.0,0.64,2019-12-31,43464.0
HEIMDAL,6.69,46.21,0.0,0.0,52.9,0.0,0.01,0.0,0.0,0.01,2019-12-31,43590.0
LILLE-FRIGG,1.33,2.19,0.0,0.02,3.54,0.0,0.0,0.0,0.0,0.0,2019-12-31,43583.0
SKIRNE,2.42,10.68,0.0,0.0,13.1,0.07,0.34,0.0,0.0,0.41,2019-12-31,2138816.0
SLEIPNER VEST,5.72,146.65,10.58,29.74,202.21,1.58,8.08,0.63,0.0,10.86,2019-12-31,43457.0
SLEIPNER ØST,0.37,68.52,13.41,26.62,120.99,0.06,0.27,0.03,0.0,0.39,2019-12-31,43478.0
UTGARD,1.06,1.68,0.34,0.0,3.39,0.89,1.54,0.3,0.0,3.0,2019-12-31,28975098.0
VALE,2.62,2.64,0.0,0.0,5.26,0.34,0.51,0.0,0.0,0.85,2019-12-31,1578893.0
YME,19.44,0.0,0.0,0.0,19.44,11.53,0.0,0.0,0.0,11.53,2019-12-31,43807.0
ØST FRIGG,0.0,9.22,0.0,0.07,9.29,0.0,0.0,0.0,0.0,0.0,2019-12-31,43576.0
,45.93000000000001,306.57000000000005,26.520000000000003,61.03,463.91999999999996,14.57,11.19,1.01,0.0,27.689999999999998,,54147643.0
