fldName,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpShare
ATLA,0.0,0.0,0.0,0.0,0.0,20.0
FRØY,0.0,0.0,0.0,0.0,0.0,9.74
GUNGNE,0.02,0.07,0.01,0.0,0.1,15.0
HEIMDAL,0.0,0.0,0.0,0.0,0.0,5.0
LILLE-FRIGG,0.0,0.0,0.0,0.0,0.0,20.0
SKIRNE,0.02,0.1,0.0,0.0,0.12,30.0
SLEIPNER VEST,0.24,1.21,0.09,0.0,1.63,15.0
SLEIPNER ØST,0.01,0.04,0.0,0.0,0.06,15.0
UTGARD,0.25,0.43,0.08,0.0,0.84,17.36
VALE,0.09,0.13,0.0,0.0,0.22,25.757
YME,2.31,0.0,0.0,0.0,2.31,20.0
ØST FRIGG,0.0,0.0,0.0,0.0,0.0,20.0
,2.94,1.98,0.18,0.0,5.28,212.85700000000003
